area_name,indicator,date,measure,unit,value,group
Trafford,Google community mobility trends,2020-05-04,Percentage change from baseline,Visits and length of stay,-0.71,Retail & recreation
Trafford,Google community mobility trends,2020-05-04,Percentage change from baseline,Visits and length of stay,-0.3,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-04,Percentage change from baseline,Visits and length of stay,-0.23,Parks*
Trafford,Google community mobility trends,2020-05-05,Percentage change from baseline,Visits and length of stay,-0.71,Retail & recreation
Trafford,Google community mobility trends,2020-05-05,Percentage change from baseline,Visits and length of stay,-0.26,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-05,Percentage change from baseline,Visits and length of stay,-0.19,Parks*
Trafford,Google community mobility trends,2020-05-06,Percentage change from baseline,Visits and length of stay,-0.72,Retail & recreation
Trafford,Google community mobility trends,2020-05-06,Percentage change from baseline,Visits and length of stay,-0.21,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-06,Percentage change from baseline,Visits and length of stay,-0.28,Parks*
Trafford,Google community mobility trends,2020-05-07,Percentage change from baseline,Visits and length of stay,-0.68,Retail & recreation
Trafford,Google community mobility trends,2020-05-07,Percentage change from baseline,Visits and length of stay,-0.18,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-07,Percentage change from baseline,Visits and length of stay,-0.25,Parks*
Trafford,Google community mobility trends,2020-05-08,Percentage change from baseline,Visits and length of stay,-0.78,Retail & recreation
Trafford,Google community mobility trends,2020-05-08,Percentage change from baseline,Visits and length of stay,-0.31,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-08,Percentage change from baseline,Visits and length of stay,-0.23,Parks*
Trafford,Google community mobility trends,2020-05-09,Percentage change from baseline,Visits and length of stay,-0.82,Retail & recreation
Trafford,Google community mobility trends,2020-05-09,Percentage change from baseline,Visits and length of stay,-0.3,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-09,Percentage change from baseline,Visits and length of stay,-0.46,Parks*
Trafford,Google community mobility trends,2020-05-10,Percentage change from baseline,Visits and length of stay,-0.84,Retail & recreation
Trafford,Google community mobility trends,2020-05-10,Percentage change from baseline,Visits and length of stay,-0.39,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-10,Percentage change from baseline,Visits and length of stay,-0.62,Parks*
Trafford,Google community mobility trends,2020-05-11,Percentage change from baseline,Visits and length of stay,-0.68,Retail & recreation
Trafford,Google community mobility trends,2020-05-11,Percentage change from baseline,Visits and length of stay,-0.28,Supermarket & pharmacy
Trafford,Google community mobility trends,2020-05-11,Percentage change from baseline,Visits and length of stay,-0.29,Parks*
