area_code,area_name,indicator,meausre,value,period
E92000001,England,internal net ,Count year to mid-Year,-4531,2013
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.08,2013
E92000001,England,international in ,Count year to mid-Year,602246,2013
E92000001,England,international in ,Per 1000 year to mid-Year,11.17,2013
E92000001,England,international out ,Count year to mid-Year,394551,2013
E92000001,England,international out ,Per 1000 year to mid-Year,7.32,2013
E92000001,England,international net ,Count year to mid-Year,207695,2013
E92000001,England,international net ,Per 1000 year to mid-Year,3.85,2013
E92000001,England,special change ,Count year to mid-Year,2264,2013
E92000001,England,special change ,Per 1000 year to mid-Year,0.04,2013
E92000001,England,unattrib ,Count year to mid-Year,10836,2013
E92000001,England,unattrib ,Per 1000 year to mid-Year,0.2,2013
E92000001,England,other adjust ,Count year to mid-Year,0,2013
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2013
E92000001,England,natchange ,Count year to mid-Year,195610,2013
E92000001,England,natchange ,Per 1000 year to mid-Year,3.63,2013
E92000001,England,population ,Count year to mid-Year,54370319,2014
E92000001,England,population ,Per 1000 year to mid-Year,1000,2014
E92000001,England,births ,Count year to mid-Year,663540,2014
E92000001,England,births ,Per 1000 year to mid-Year,12.2,2014
E92000001,England,deaths ,Count year to mid-Year,454990,2014
E92000001,England,deaths ,Per 1000 year to mid-Year,8.37,2014
E92000001,England,internal in ,Count year to mid-Year,111065,2014
E92000001,England,internal in ,Per 1000 year to mid-Year,2.04,2014
E92000001,England,internal out ,Count year to mid-Year,119858,2014
E92000001,England,internal out ,Per 1000 year to mid-Year,2.2,2014
E92000001,England,internal net ,Count year to mid-Year,-8793,2014
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.16,2014
E92000001,England,international in ,Count year to mid-Year,667284,2014
E92000001,England,international in ,Per 1000 year to mid-Year,12.27,2014
E92000001,England,international out ,Count year to mid-Year,433142,2014
E92000001,England,international out ,Per 1000 year to mid-Year,7.97,2014
E92000001,England,international net ,Count year to mid-Year,234142,2014
E92000001,England,international net ,Per 1000 year to mid-Year,4.31,2014
E92000001,England,special change ,Count year to mid-Year,8012,2014
E92000001,England,special change ,Per 1000 year to mid-Year,0.15,2014
E92000001,England,unattrib ,Count year to mid-Year,9722,2014
E92000001,England,unattrib ,Per 1000 year to mid-Year,0.18,2014
E92000001,England,other adjust ,Count year to mid-Year,0,2014
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2014
E92000001,England,natchange ,Count year to mid-Year,208550,2014
E92000001,England,natchange ,Per 1000 year to mid-Year,3.84,2014
E92000001,England,population ,Count year to mid-Year,54808676,2015
E92000001,England,population ,Per 1000 year to mid-Year,1000,2015
E92000001,England,births ,Count year to mid-Year,662014,2015
E92000001,England,births ,Per 1000 year to mid-Year,12.08,2015
E92000001,England,deaths ,Count year to mid-Year,499672,2015
E92000001,England,deaths ,Per 1000 year to mid-Year,9.12,2015
E92000001,England,internal in ,Count year to mid-Year,112266,2015
E92000001,England,internal in ,Per 1000 year to mid-Year,2.05,2015
E92000001,England,internal out ,Count year to mid-Year,118632,2015
E92000001,England,internal out ,Per 1000 year to mid-Year,2.16,2015
E92000001,England,internal net ,Count year to mid-Year,-6366,2015
E92000001,England,internal net ,Per 1000 year to mid-Year,-0.12,2015
E92000001,England,international in ,Count year to mid-Year,704950,2015
E92000001,England,international in ,Per 1000 year to mid-Year,12.86,2015
E92000001,England,international out ,Count year to mid-Year,434066,2015
E92000001,England,international out ,Per 1000 year to mid-Year,7.92,2015
E92000001,England,international net ,Count year to mid-Year,270884,2015
E92000001,England,international net ,Per 1000 year to mid-Year,4.94,2015
E92000001,England,special change ,Count year to mid-Year,6077,2015
E92000001,England,special change ,Per 1000 year to mid-Year,0.11,2015
E92000001,England,unattrib ,Count year to mid-Year,5420,2015
E92000001,England,unattrib ,Per 1000 year to mid-Year,0.1,2015
E92000001,England,other adjust ,Count year to mid-Year,0,2015
E92000001,England,other adjust ,Per 1000 year to mid-Year,0,2015
E92000001,England,natchange ,Count year to mid-Year,162342,2015
E92000001,England,natchange ,Per 1000 year to mid-Year,2.96,2015
E92000001,England,population ,Count year to mid-Year,55289034,2016
E92000001,England,population ,Per 1000 year to mid-Year,1000,2016
E92000001,England,births ,Count year to mid-Year,668063,2016
E92000001,England,births ,Per 1000 year to mid-Year,12.08,2016
E92000001,England,deaths ,Count year to mid-Year,486960,2016
E92000001,England,deaths ,Per 1000 year to mid-Year,8.81,2016
E92000001,England,internal in ,Count year to mid-Year,109916,2016
E92000001,England,internal in ,Per 1000 year to mid-Year,1.99,2016
E92000001,England,internal out ,Count year to mid-Year,120970,2016
